_id,tripduration,start station id,start station name,end station id,end station name,bikeid,usertype,birth year,gender,start station location,end station location,start time,stop time
572bb8232b288919b68af934,196,487,E 20 St & FDR Drive,511,E 14 St & Avenue B,17225,Subscriber,1990,1,"{'$numberDouble': '-73.97573881'}, {'$numberDouble': '40.73314259'}","{'$numberDouble': '-73.97772429'}, {'$numberDouble': '40.72938685'}",2016-01-02T12:08:57,2016-01-02T12:12:13
572bb8232b288919b68af935,2327,3175,W 70 St & Amsterdam Ave,3175,W 70 St & Amsterdam Ave,23619,Subscriber,1969,1,"{'$numberDouble': '-73.98288594'}, {'$numberDouble': '40.77748046'}","{'$numberDouble': '-73.98288594'}, {'$numberDouble': '40.77748046'}",2016-01-02T12:08:58,2016-01-02T12:47:45
572bb8232b288919b68af936,250,401,Allen St & Rivington St,295,Pike St & E Broadway,23984,Subscriber,1979,1,"{'$numberDouble': '-73.98997825'}, {'$numberDouble': '40.72019576'}","{'$numberDouble': '-73.99293911'}, {'$numberDouble': '40.71406667'}",2016-01-02T12:09:00,2016-01-02T12:13:10
572bb8232b288919b68af937,206,395,Bond St & Schermerhorn St,274,Lafayette Ave & Fort Greene Pl,15027,Subscriber,1982,1,"{'$numberDouble': '-73.98410637'}, {'$numberDouble': '40.68807003'}","{'$numberDouble': '-73.976682'}, {'$numberDouble': '40.68691865'}",2016-01-02T12:09:00,2016-01-02T12:12:27
572bb8232b288919b68af938,939,238,Bank St & Washington St,447,8 Ave & W 52 St,17462,Subscriber,1970,2,"{'$numberDouble': '-74.00859207'}, {'$numberDouble': '40.7361967'}","{'$numberDouble': '-73.9851615'}, {'$numberDouble': '40.76370739'}",2016-01-02T12:09:02,2016-01-02T12:24:41
572bb8232b288919b68af939,1009,422,W 59 St & 10 Ave,334,W 20 St & 7 Ave,22435,Subscriber,1993,1,"{'$numberDouble': '-73.988038'}, {'$numberDouble': '40.770513'}","{'$numberDouble': '-73.99726235'}, {'$numberDouble': '40.74238787'}",2016-01-02T12:09:04,2016-01-02T12:25:53
572bb8232b288919b68af93a,353,300,Shevchenko Pl & E 7 St,401,Allen St & Rivington St,23092,Subscriber,1987,1,"{'$numberDouble': '-73.990214'}, {'$numberDouble': '40.728145'}","{'$numberDouble': '-73.98997825'}, {'$numberDouble': '40.72019576'}",2016-01-02T12:09:04,2016-01-02T12:14:57
572bb8232b288919b68af93b,80,3072,Leonard St & Boerum St,3071,Boerum St & Broadway,21372,Subscriber,1989,1,"{'$numberDouble': '-73.94644578'}, {'$numberDouble': '40.70583339'}","{'$numberDouble': '-73.94976519'}, {'$numberDouble': '40.70538077'}",2016-01-02T12:09:07,2016-01-02T12:10:28
572bb8232b288919b68af93c,156,498,Broadway & W 32 St,444,Broadway & W 24 St,22338,Subscriber,1971,1,"{'$numberDouble': '-73.98808416'}, {'$numberDouble': '40.74854862'}","{'$numberDouble': '-73.98915076'}, {'$numberDouble': '40.7423543'}",2016-01-02T12:09:11,2016-01-02T12:11:47
572bb8232b288919b68af93d,986,422,W 59 St & 10 Ave,334,W 20 St & 7 Ave,22578,Subscriber,1985,2,"{'$numberDouble': '-73.988038'}, {'$numberDouble': '40.770513'}","{'$numberDouble': '-73.99726235'}, {'$numberDouble': '40.74238787'}",2016-01-02T12:09:13,2016-01-02T12:25:40
572bb8232b288919b68af940,358,394,E 9 St & Avenue C,237,E 11 St & 2 Ave,17008,Subscriber,1976,1,"{'$numberDouble': '-73.97768752'}, {'$numberDouble': '40.72521311'}","{'$numberDouble': '-73.98672378'}, {'$numberDouble': '40.73047309'}",2016-01-02T12:09:30,2016-01-02T12:15:28
572bb8232b288919b68af947,1780,291,Madison St & Montgomery St,279,Peck Slip & Front St,19940,Subscriber,1954,1,"{'$numberDouble': '-73.984844'}, {'$numberDouble': '40.713126'}","{'$numberDouble': '-74.00167'}, {'$numberDouble': '40.707873'}",2016-01-02T12:09:58,2016-01-02T12:39:38
572bb8232b288919b68af948,1880,3160,Central Park West & W 76 St,463,9 Ave & W 16 St,24099,Subscriber,1986,1,"{'$numberDouble': '-73.97374737'}, {'$numberDouble': '40.77896784'}","{'$numberDouble': '-74.00443172'}, {'$numberDouble': '40.74206539'}",2016-01-02T12:10:09,2016-01-02T12:41:29
572bb8232b288919b68af950,554,393,E 5 St & Avenue C,128,MacDougal St & Prince St,21165,Subscriber,1971,1,"{'$numberDouble': '-73.97995466'}, {'$numberDouble': '40.72299208'}","{'$numberDouble': '-74.00297088'}, {'$numberDouble': '40.72710258'}",2016-01-02T12:10:26,2016-01-02T12:19:41
572bb8232b288919b68af955,590,3224,W 13 St & Hudson St,285,Broadway & E 14 St,23157,Customer,0,0,"{'$numberDouble': '-74.00513872504234'}, {'$numberDouble': '40.73997354103409'}","{'$numberDouble': '-73.99074142'}, {'$numberDouble': '40.73454567'}",2016-01-02T12:10:47,2016-01-02T12:20:37
572bb8232b288919b68af956,188,383,Greenwich Ave & Charles St,346,Bank St & Hudson St,24196,Subscriber,1980,1,"{'$numberDouble': '-74.000271'}, {'$numberDouble': '40.735238'}","{'$numberDouble': '-74.00618026'}, {'$numberDouble': '40.73652889'}",2016-01-02T12:10:56,2016-01-02T12:14:05
572bb8232b288919b68af95a,356,3002,South End Ave & Liberty St,329,Greenwich St & N Moore St,22762,Subscriber,1986,1,"{'$numberDouble': '-74.015756'}, {'$numberDouble': '40.711512'}","{'$numberDouble': '-74.01020609'}, {'$numberDouble': '40.72043411'}",2016-01-02T12:11:07,2016-01-02T12:17:03
